[04:56:45] 🏗️ 建立自己的完整資料庫
[04:56:45]    探測最新 ID...
[04:56:46]    最新 ID: 37308
[04:56:46]    需要抓: 37308 篇
[08:07:17]    18700/37308 (50.1%) | 已抓 14932 篇 | 錯誤 3768 | 速度 1.6/秒 | 剩 ~190 分鐘
[08:08:17]    18800/37308 (50.4%) | 已抓 15023 篇 | 錯誤 3777 | 速度 1.6/秒 | 剩 ~189 分鐘
[08:09:18]    18900/37308 (50.7%) | 已抓 15064 篇 | 錯誤 3836 | 速度 1.6/秒 | 剩 ~188 分鐘
[08:10:21]    19000/37308 (50.9%) | 已抓 15102 篇 | 錯誤 3898 | 速度 1.6/秒 | 剩 ~187 分鐘
[08:11:23]    19100/37308 (51.2%) | 已抓 15194 篇 | 錯誤 3906 | 速度 1.6/秒 | 剩 ~186 分鐘
[08:12:23]    19200/37308 (51.5%) | 已抓 15247 篇 | 錯誤 3953 | 速度 1.6/秒 | 剩 ~184 分鐘
[08:13:25]    19300/37308 (51.7%) | 已抓 15294 篇 | 錯誤 4006 | 速度 1.6/秒 | 剩 ~183 分鐘
[08:14:27]    19400/37308 (52.0%) | 已抓 15372 篇 | 錯誤 4028 | 速度 1.6/秒 | 剩 ~182 分鐘
[08:15:27]    19500/37308 (52.3%) | 已抓 15449 篇 | 錯誤 4051 | 速度 1.6/秒 | 剩 ~181 分鐘
[08:16:28]    19600/37308 (52.5%) | 已抓 15496 篇 | 錯誤 4104 | 速度 1.6/秒 | 剩 ~180 分鐘
[08:17:30]    19700/37308 (52.8%) | 已抓 15552 篇 | 錯誤 4148 | 速度 1.6/秒 | 剩 ~179 分鐘
[08:18:32]    19800/37308 (53.1%) | 已抓 15611 篇 | 錯誤 4189 | 速度 1.6/秒 | 剩 ~178 分鐘
[08:19:32]    19900/37308 (53.3%) | 已抓 15683 篇 | 錯誤 4217 | 速度 1.6/秒 | 剩 ~177 分鐘
[08:20:33]    20000/37308 (53.6%) | 已抓 15764 篇 | 錯誤 4236 | 速度 1.6/秒 | 剩 ~176 分鐘
[08:21:34]    20100/37308 (53.9%) | 已抓 15844 篇 | 錯誤 4256 | 速度 1.6/秒 | 剩 ~175 分鐘
[08:22:34]    20200/37308 (54.1%) | 已抓 15936 篇 | 錯誤 4264 | 速度 1.6/秒 | 剩 ~174 分鐘
